KO_name,KO_type,KO_equipment,KO_target,ZH_name,ZH_type,ZH_equipment,ZH_target,EN_name,EN_type,EN_equipment,EN_target
벽패스,협응력,공,유소년,墙壁传球,协调力,球,少年,Wall Pass,Coordination,Ball,Juvenile
십(十)자 드리블,협응력,라바콘/공,유소년,十字形运球,协调力,障碍锥/球,少年,Cross Dribbling,Coordination,Cones/Ball,Juvenile
공 양손으로 주고 받기,협응력,공,유소년,双手传球,协调力,球,少年,Passing Ball with Both Hands,Coordination,Ball,Juvenile
의자 잡고 반복 옆 뛰기,민첩성/순발력,맨몸/의자,유소년,抓住椅子侧向跳,敏捷性/反应速度,无/椅子,少年,Lateral Hops with Chair Support,Agility/Quickness,None/Chair,Juvenile
양 손 번갈아 공 튀기기,협응력,공,유소년,交替手弹球,协调力,球,少年,Alternating Hands Ball Bouncing,Coordination,Ball,Juvenile
라켓으로 공 치며 앞으로 가기,협응력,풍선/라켓,유소년,拍球前进,协调力,网球拍/气球,少年,Moving Forward While Hitting a Balloon with a Racket,Coordination,Racket/Balloon,Juvenile
공 위로 던지고 제자리 돌아 받기,협응력,공,유소년,投球转身接球,协调力,球,少年,Throw Ball Up and Turn to Catch,Coordination,Ball,Juvenile
무릎-허리 높이로 공 튀기기,협응력,공,유소년,膝盖至腰部高度弹球,协调力,球,少年,Bouncing Ball from Knee to Waist Height,Coordination,Ball,Juvenile
계이름 치기,협응력,맨몸,유소년,节奏操,协调力,无,少年,Rhythmic Clapping,Coordination,None,Juvenile
공 던져 색깔 맞추기,협응력,공,유소년,投球对色,协调力,球,少年,Throw Ball and Match Colors,Coordination,Ball,Juvenile
훌라후프로 공 끌고 가기,협응력,공/훌라후프,유소년,用呼啦圈推球前进,协调力,球/呼啦圈,少年,Moving Ball with Hula Hoop,Coordination,Ball/Hula Hoop,Juvenile
훌라후프하며 앞으로 가기,협응력,하프콘/훌라후프,유소년,前进时转呼啦圈,协调力,半锥/呼啦圈,少年,Moving Forward While Hula Hooping,Coordination,Half Cones/Hula Hoop,Juvenile
반복 옆뛰기,민첩성/순발력,맨몸/줄/하프콘,유소년,重复侧向跳,敏捷性/反应速度,无/绳子/半锥,少年,Repeated Lateral Hops,Agility/Quickness,None/Rope/Half Cones,Juvenile
2단 줄넘기,민첩성/순발력,맨몸/줄넘기,유소년,双层跳绳,敏捷性/反应速度,无/跳绳,少年,Double Dutch Jump Rope,Agility/Quickness,None/Jump Rope,Juvenile
십(十)자 달리기,민첩성/순발력,맨몸/하프콘,유소년,十字形跑步,敏捷性/反应速度,无/半锥,少年,Cross Running,Agility/Quickness,None/Half Cones,Juvenile
점프해서 발바닥 치기,민첩성/순발력,맨몸,유소년,跳起拍打脚掌,敏捷性/反应速度,无,少年,Jump and Slap Feet,Agility/Quickness,None,Juvenile
제자리 멀리 뛰기,민첩성/순발력,맨몸,유소년,原地远跳,敏捷性/反应速度,无,少年,Standing Long Jump,Agility/Quickness,None,Juvenile
연속 무릎 올리기,민첩성/순발력,맨몸/의자/줄/하프콘,유소년,连续抬膝,敏捷性/反应速度,无/椅子/绳/半锥,少年,Continuous Knee Raises,Agility/Quickness,None/Chair/Rope/Half Cones,Juvenile
대(大)자 점프 뛰기,민첩성/순발력,맨몸,유소년,大字形跳跃,敏捷性/反应速度,无,少年,Star Jumps,Agility/Quickness,None,Juvenile
S자 달리기,민첩성/순발력,맨몸/하프콘,유소년,S型跑步,敏捷性/反应速度,无/半锥,少年,S-Curve Running,Agility/Quickness,None/Half Cones,Juvenile
4방향 콘 찍고 달리기,민첩성/순발력,맨몸/하프콘,유소년,四方向接触锥跑步,敏捷性/反应速度,无/半锥,少年,Four-Direction Cone Touch Running,Agility/Quickness,None/Half Cones,Juvenile
콘 뛰어넘기,민첩성/순발력,맨몸/하프콘,유소년,跳过锥子,敏捷性/反应速度,无/半锥,少年,Cone Jumping,Agility/Quickness,None/Half Cones,Juvenile
점프해서 손 발끝 닿기,민첩성/순발력,맨몸,유소년,跳起触手足尖,敏捷性/反应速度,无,少年,Jump and Touch Toes,Agility/Quickness,None,Juvenile
점프하며 앞으로 나가기,민첩성/순발력,맨몸/하프콘,유소년,跳跃前进,敏捷性/反应速度,无/半锥,少年,Jump Forward,Agility/Quickness,None/Half Cones,Juvenile
누워서 굽힌 다리 펴기,유연성,맨몸/밴드/수건/써클링,유소년,躺卧弯腿伸展,柔韧性,无/弹力带/毛巾/圈带,少年,Lying Leg Extension,Flexibility,None/Band/Towel/Circle Band,Juvenile
잔발치기,민첩성/순발력,맨몸,유소년,脚尖踢击,敏捷性/反应速度,无,少年,Toe Taps,Agility/Quickness,None,Juvenile
벽잡고 빨리 뛰기,민첩성/순발력,맨몸,유소년,抓墙快跑,敏捷性/反应速度,无,少年,Wall-Assisted Quick Running,Agility/Quickness,None,Juvenile
한 발 뒤로 빼고 앞으로 굽히기,유연성,맨몸,유소년,后踵提前弯曲,柔韧性,无,少年,Back Heel Lift and Forward Bend,Flexibility,None,Juvenile
엎드려 상체 들어올리기,유연성,맨몸,유소년,俯卧撑起上半身,柔韧性,无,少年,Prone Upper Body Lift,Flexibility,None,Juvenile
다리 모아 뒤로 눕기,유연성,공/맨몸/써클휠,유소년,合腿仰卧,柔韧性,球/无/圆轮,少年,Lying Back with Legs Together,Flexibility,Ball/None/Circle Wheel,Juvenile
활 자세,유연성,맨몸/밴드/수건/써클링,유소년,弓形姿势,柔韧性,无/弹力带/毛巾/圈带,少年,Bow Pose,Flexibility,None/Band/Towel/Circle Band,Juvenile
엎드려 어깨 늘리기,유연성,공/맨몸/써클휠,유소년,俯卧伸展肩部,柔韧性,球/无/圆轮,少年,Prone Shoulder Stretch,Flexibility,Ball/None/Circle Wheel,Juvenile
엎드려 교차 발 잡아당기기,유연성,맨몸,유소년,俯卧交叉抓脚,柔韧性,无,少年,Prone Cross-Leg Pull,Flexibility,None,Juvenile
무릎 대고 옆으로 기울이기,유연성,막대/맨몸/밴드/써클링,유소년,跪姿侧身倾斜,柔韧性,棒/无/弹力带/圆环,少年,Kneeling Side Lean,Flexibility,Rod/None/Band/Circle Band,Juvenile
팔 빨리 흔들기,민첩성/순발력,맨몸,유소년,快速摆动手臂,敏捷性/反应速度,无,少年,Fast Arm Shaking,Agility/Quickness,None,Juvenile
50M 달리기,민첩성/순발력,맨몸,유소년,50米短跑,敏捷性/反应速度,无,少年,50-Meter Dash,Agility/Quickness,None,Juvenile
다리 벌려 옆으로 상체 숙이기,유연성,맨몸,유소년,张开双腿侧身弯腰,柔韧性,无,少年,Wide-Legged Side Bend,Flexibility,None,Juvenile
다리 벌려 앞으로 상체 숙이기,유연성,맨몸,유소년,张开双腿前倾,柔韧性,无,少年,Wide-Legged Forward Bend,Flexibility,None,Juvenile
발목 얹고 다리 잡아당기기,유연성,맨몸,유소년,抬脚拉伸,柔韧性,无,少年,Ankle-on-Knee Leg Pull,Flexibility,None,Juvenile
다리 모아 상체 숙이기,유연성,맨몸,유소년,合腿前倾,柔韧性,无,少年,Forward Bend with Legs Together,Flexibility,None,Juvenile
발바닥 마주대고 끌어당기기,유연성,맨몸,유소년,脚掌相对拉近,柔韧性,无,少年,Butterfly Stretch,Flexibility,None,Juvenile
다리 굽혀(W자) 상체 뒤로 눕기,유연성,맨몸,유소년,W型腿仰卧,柔韧性,无,少年,Lying Back with W Legs,Flexibility,None,Juvenile
앉아서 옆구리 늘려주기,유연성,맨몸,유소년,坐姿侧身伸展,柔韧性,无,少年,Seated Side Stretch,Flexibility,None,Juvenile
앉아서 한 발 앞으로 굽히기,유연성,맨몸/밴드,유소년,坐姿单腿前伸,柔韧性,无/弹力带,少年,Seated Single Leg Forward Bend,Flexibility,None/Band,Juvenile
한 발 앞굽이 팔 위로 뻗어 가슴 내밀기,유연성,맨몸,유소년,单腿前弯伸展双臂,柔韧性,无,少年,Single Leg Forward Bend with Arm Stretch,Flexibility,None,Juvenile
앉아 윗몸 앞으로 굽히기,유연성,맨몸,유소년,坐姿前弯,柔韧性,无,少年,Seated Forward Bend,Flexibility,None,Juvenile
다리 꼬아 상체 앞으로 숙이기,유연성,맨몸,유소년,坐姿交叉腿前弯,柔韧性,无,少年,Seated Crossed-Leg Forward Bend,Flexibility,None,Juvenile
무릎 대고 상체 뒤로 젖히기,유연성,맨몸,유소년,跪姿后仰,柔韧性,无,少年,Kneeling Backbend,Flexibility,None,Juvenile
1단 줄넘기,심폐지구력,줄넘기,유소년,单人跳绳,心肺耐力,跳绳,少年,Single Rope Jumping,Cardiovascular Endurance,Jump Rope,Juvenile
무릎 굽혀 가슴 닿기,유연성,맨몸,유소년,弯膝触胸,柔韧性,无,少年,Knee to Chest Touch,Flexibility,None,Juvenile
계단 오르기,심폐지구력,맨몸/스텝박스/스텝퍼,유소년,爬楼梯,心肺耐力,无/踏步箱/踏步机,少年,Stair Climbing,Cardiovascular Endurance,None/Step Box/Stepper,Juvenile
제자리 뛰기,심폐지구력,맨몸/밴드,유소년,原地跳跃,心肺耐力,无/弹力带,少年,Running in Place,Cardiovascular Endurance,None/Band,Juvenile
왕복달리기,심폐지구력,라바콘/공/맨몸,유소년,往返跑,心肺耐力,路障锥/球/无,少年,Shuttle Run,Cardiovascular Endurance,Cones/Ball/None,Juvenile
박스 옆으로 번갈아 뛰기,심폐지구력,맨몸/스텝박스,유소년,盒子侧向跳,心肺耐力,无/踏步箱,少年,Lateral Box Shuffles,Cardiovascular Endurance,None/Step Box,Juvenile
한 발 무릎위 올려차기,심폐지구력,맨몸/스텝박스,유소년,单腿提膝踢,心肺耐力,无/踏步箱,少年,Single Leg Knee Drive Kick,Cardiovascular Endurance,None/Step Box,Juvenile
박스 오르내리기,심폐지구력,맨몸/스텝박스,유소년,盒子上下跳,心肺耐力,无/踏步箱,少年,Box Step-Ups and Downs,Cardiovascular Endurance,None/Step Box,Juvenile
엎드려 무릎 연속 차기,심폐지구력,맨몸,유소년,俯卧连续踢膝,心肺耐力,无,少年,Prone Continuous Knee Kicks,Cardiovascular Endurance,None,Juvenile
다리 모았다 벌려 뛰기,심폐지구력,맨몸/스텝박스,유소년,收合跳,心肺耐力,无/踏步箱,少年,Jumping Jacks,Cardiovascular Endurance,None/Step Box,Juvenile
허리 비틀어 앉았다 일어서기,근력/근지구력,공/맨몸,유소년,扭腰坐起站立,肌肉力量/肌肉耐力,球/无,少年,Twist and Stand from Seated Position,Muscle Strength/Muscular Endurance,Ball/None,Juvenile
무릎 올려 공 닿기,근력/근지구력,공/맨몸,유소년,抬膝触球,肌肉力量/肌肉耐力,球/无,少年,Knee Raise to Ball Touch,Muscle Strength/Muscular Endurance,Ball/None,Juvenile
다리 앞뒤로 벌려 굽혔다 펴기,근력/근지구력,맨몸,유소년,前后分腿蹲起,肌肉力量/肌肉耐力,无,少年,Alternating Split Squats,Muscle Strength/Muscular Endurance,None,Juvenile
발 뒤꿈치 들어올리기,근력/근지구력,맨몸/의자,유소년,提踵,肌肉力量/肌肉耐力,无/椅子,少年,Calf Raises,Muscle Strength/Muscular Endurance,None/Chair,Juvenile
앞발 의자 올려 굽히기,근력/근지구력,맨몸/의자,유소년,椅子上单腿蹲,肌肉力量/肌肉耐力,无/椅子,少年,Elevated Single-Leg Squats,Muscle Strength/Muscular Endurance,None/Chair,Juvenile
의자에 앉아 다리 펴서 들어올리기,근력/근지구력,맨몸/밴드/의자,유소년,坐姿抬直腿,肌肉力量/肌肉耐力,无/弹力带/椅子,少年,Seated Leg Extensions,Muscle Strength/Muscular Endurance,None/Band/Chair,Juvenile
앞으로 나가며 앉았다 일어서기,근력/근지구력,맨몸/의자,유소년,前进蹲起,肌肉力量/肌肉耐力,无/椅子,少年,Forward Step and Stand,Muscle Strength/Muscular Endurance,None/Chair,Juvenile
다리 옆으로 들어올리기,근력/근지구력,맨몸/의자,유소년,侧抬腿,肌肉力量/肌肉耐力,无/椅子,少年,Lateral Leg Raises,Muscle Strength/Muscular Endurance,None/Chair,Juvenile
앞발 들어올리기,근력/근지구력,맨몸/의자,유소년,提前脚,肌肉力量/肌肉耐力,无/椅子,少年,Front Foot Raises,Muscle Strength/Muscular Endurance,None/Chair,Juvenile
교차 다리 굽히기,근력/근지구력,맨몸/물병,유소년,交叉腿弯曲,肌肉力量/肌肉耐力,无/水瓶,少年,Crossed Legs Bend,Muscle Strength/Muscular Endurance,None/Water Bottles,Juvenile
뒷발 의자 올려 굽히기,근력/근지구력,맨몸/의자,유소년,后脚抬高蹲,肌肉力量/肌肉耐力,无/椅子,少年,Elevated Rear Foot Squat,Muscle Strength/Muscular Endurance,None/Chair,Juvenile
밴드 잡고 무릎펴기,근력/근지구력,맨몸/밴드,유소년,拉力带膝伸展,肌肉力量/肌肉耐力,无/拉力带,少年,Knee Extensions with Band,Muscle Strength/Muscular Endurance,None/Resistance Band,Juvenile
밴드 잡고 다리 옆으로 벌리기,근력/근지구력,맨몸/밴드,유소년,拉力带侧腿抬,肌肉力量/肌肉耐力,无/拉力带,少年,Lateral Leg Raises with Band,Muscle Strength/Muscular Endurance,None/Resistance Band,Juvenile
밴드 한 발 뒤로 들기,근력/근지구력,맨몸/밴드/의자,유소년,拉力带单腿后抬,肌肉力量/肌肉耐力,无/拉力带/椅子,少年,Single Leg Rear Lift with Band,Muscle Strength/Muscular Endurance,None/Resistance Band/Chair,Juvenile
앉았다 일어서기,근력/근지구력,공/의자,유소년,坐起站立,肌肉力量/肌肉耐力,球/椅子,少年,Sit to Stand,Muscle Strength/Muscular Endurance,Ball/Chair,Juvenile
엎드려 다리 들어올리기,근력/근지구력,맨몸,유소년,俯卧抬腿,肌肉力量/肌肉耐力,无,少年,Prone Leg Lifts,Muscle Strength/Muscular Endurance,None,Juvenile
옆으로 누워 다리 들어올리기,근력/근지구력,맨몸,유소년,侧卧抬腿,肌肉力量/肌肉耐力,无,少年,Side-Lying Leg Lifts,Muscle Strength/Muscular Endurance,None,Juvenile
팔로 써클링 누르기,근력/근지구력,공/써클링,유소년,推压圆环,肌肉力量/肌肉耐力,球/圆环,少年,Circle Press,Muscle Strength/Muscular Endurance,Ball/Circle Ring,Juvenile
V자 버티기,근력/근지구력,공/맨몸/써클링,유소년,V字坐姿支撑,肌肉力量/肌肉耐力,球/无/圆环,少年,V-Sit Hold,Muscle Strength/Muscular Endurance,Ball/None/Circle Ring,Juvenile
무릎 굽혀 엉덩이 들어올리기,근력/근지구력,맨몸,유소년,屈膝提臀,肌肉力量/肌肉耐力,无,少年,Hip Lifts with Bent Knees,Muscle Strength/Muscular Endurance,None,Juvenile
옆으로 누워 무릎 벌리기,근력/근지구력,맨몸,유소년,侧卧开合腿,肌肉力量/肌肉耐力,无,少年,Side-Lying Clamshells,Muscle Strength/Muscular Endurance,None,Juvenile
옆으로 다리 뻗기,근력/근지구력,맨몸,유소년,侧卧腿伸展,肌肉力量/肌肉耐力,无,少年,Side-Lying Leg Extension,Muscle Strength/Muscular Endurance,None,Juvenile
무릎 구부려 상체 비틀기,근력/근지구력,공/맨몸,유소년,屈膝扭转上体,肌肉力量/肌肉耐力,球/无,少年,Seated Twist with Bent Knees,Muscle Strength/Muscular Endurance,Ball/None,Juvenile
밴드 앞으로 당기기,근력/근지구력,맨몸/밴드,유소년,拉力带前拉,肌肉力量/肌肉耐力,无/拉力带,少年,Band Chest Press,Muscle Strength/Muscular Endurance,None/Resistance Band,Juvenile
공 잡고 상체 들어올리기,근력/근지구력,공,유소년,拿球抬起上半身,肌肉力量/肌肉耐力,球,少年,Upper Body Lift with Ball,Muscle Strength/Muscular Endurance,Ball,Juvenile
써클휠로 다리 끌어당기기,근력/근지구력,공/맨몸/써클휠,유소년,圆轮拉腿,肌肉力量/肌肉耐力,球/无/圆轮,少年,Ab Wheel Leg Pulls,Muscle Strength/Muscular Endurance,Ball/None/Circle Wheel,Juvenile
윗몸말아올리기,근력/근지구력,맨몸/밴드,유소년,仰卧起坐,肌肉力量/肌肉耐力,无/弹力带,少年,Sit-Ups,Muscle Strength/Muscular Endurance,None/Resistance Band,Juvenile
엎드려 무릎 당기기,근력/근지구력,맨몸,유소년,俯卧抬膝,肌肉力量/肌肉耐力,无,少年,Prone Knee Tucks,Muscle Strength/Muscular Endurance,None,Juvenile
머리 뒤로 깍지 끼고 상체 숙이기,근력/근지구력,맨몸,유소년,双手交叉后抱低头弯腰,肌肉力量/肌肉耐力,无,少年,Forward Bend with Hands Clasped Behind Head,Muscle Strength/Muscular Endurance,None,Juvenile
팔 구부려 등 모으기,근력/근지구력,맨몸,유소년,弯臂背后手碰,肌肉力量/肌肉耐力,无,少年,Elbow-to-Hand Behind-the-Back Touch,Muscle Strength/Muscular Endurance,None,Juvenile
앉아서 다리 펴서 들어올리기,근력/근지구력,맨몸,유소년,坐姿抬直腿,肌肉力量/肌肉耐力,无,少年,Seated Leg Lifts,Muscle Strength/Muscular Endurance,None,Juvenile
옆으로 팔 대고 버티기,근력/근지구력,맨몸,유소년,侧臂支撑,肌肉力量/肌肉耐力,无,少年,Side Plank Hold,Muscle Strength/Muscular Endurance,None,Juvenile
팔꿈치-무릎 교차 닿기,근력/근지구력,맨몸,유소년,肘膝交叉触碰,肌肉力量/肌肉耐力,无,少年,Elbow to Knee Cross Touch,Muscle Strength/Muscular Endurance,None,Juvenile
앉아서 밴드 당기기,근력/근지구력,맨몸/밴드,유소년,坐姿拉力带拉伸,肌肉力量/肌肉耐力,无/拉力带,少年,Seated Band Pulls,Muscle Strength/Muscular Endurance,None/Resistance Band,Juvenile
다리 올려 의자넘기,근력/근지구력,맨몸,유소년,抬腿越过椅子,肌肉力量/肌肉耐力,无,少年,Leg Raises Over Chair,Muscle Strength/Muscular Endurance,None,Juvenile
누워서 다리 펴고 원 그리기,근력/근지구력,맨몸,유소년,仰卧抬腿画圆,肌肉力量/肌肉耐力,无,少年,Lying Leg Circles,Muscle Strength/Muscular Endurance,None,Juvenile
밴드 다리 올려 버티기,근력/근지구력,맨몸/밴드,유소년,拉力带抬腿保持,肌肉力量/肌肉耐力,无/拉力带,少年,Band-Assisted Leg Hold,Muscle Strength/Muscular Endurance,None/Resistance Band,Juvenile
밴드로 다리 들어 올려 버티기,근력/근지구력,맨몸/밴드,유소년,拉力带腿部抬起保持,肌肉力量/肌肉耐力,无/拉力带,少年,Resistance Band Leg Hold,Muscle Strength/Muscular Endurance,None/Resistance Band,Juvenile
팔굽혀펴기,근력/근지구력,맨몸,유소년,俯卧撑,肌肉力量/肌肉耐力,无,少年,Push-Ups,Muscle Strength/Muscular Endurance,None,Juvenile
슈퍼맨자세,근력/근지구력,맨몸,유소년,超人姿势,肌肉力量/肌肉耐力,无,少年,Superman Pose,Muscle Strength/Muscular Endurance,None,Juvenile
엎드려 팔 대고 버티기,근력/근지구력,맨몸,유소년,俯卧撑起撑,肌肉力量/肌肉耐力,无,少年,Plank Hold,Muscle Strength/Muscular Endurance,None,Juvenile
엎드려 팔로 걷기,근력/근지구력,맨몸,유소년,俯卧手行走,肌肉力量/肌肉耐力,无,少年,Plank Walks,Muscle Strength/Muscular Endurance,None,Juvenile
의자 잡고 팔 뒤로 굽히기,근력/근지구력,맨몸/의자,유소년,握椅后屈手臂,肌肉力量/肌肉耐力,无/椅子,少年,Chair-Assisted Tricep Dips,Muscle Strength/Muscular Endurance,None/Chair,Juvenile
밴드 어깨 뒤로 들어올리기,근력/근지구력,밴드,유소년,拉力带肩部后拉,肌肉力量/肌肉耐力,拉力带,少年,Resistance Band Shoulder Pullbacks,Muscle Strength/Muscular Endurance,Resistance Band,Juvenile
아령 뒤로 들어올리기,근력/근지구력,물병,유소년,哑铃后举,肌肉力量/肌肉耐力,水瓶,少年,Dumbbell Rear Lifts,Muscle Strength/Muscular Endurance,Water Bottles,Juvenile
밴드 앞 옆으로 들어올리기,근력/근지구력,맨몸/밴드,유소년,拉力带前侧平举,肌肉力量/肌肉耐力,无/拉力带,少年,Resistance Band Front and Lateral Raises,Muscle Strength/Muscular Endurance,None/Resistance Band,Juvenile
앉아서 엉덩이 들고 이동하기,근력/근지구력,맨몸,유소년,坐姿臀部抬起移动,肌肉力量/肌肉耐力,无,少年,Seated Hip Lift and Move,Muscle Strength/Muscular Endurance,None,Juvenile
아령 앞으로 들어올리기,근력/근지구력,물병,유소년,前平举,肌肉力量/肌肉耐力,水瓶,少年,Front Raises,Muscle Strength/Muscular Endurance,Water Bottles,Juvenile
엎드려 상체 들어올리기,근력/근지구력,맨몸,유소년,俯卧抬起上半身,肌肉力量/肌肉耐力,无,少年,Prone Upper Body Lift,Muscle Strength/Muscular Endurance,None,Juvenile
누워서 뒤로 팔굽혀펴기,근력/근지구력,맨몸,유소년,仰卧屈臂伸展,肌肉力量/肌肉耐力,无,少年,Lying Tricep Extensions,Muscle Strength/Muscular Endurance,None,Juvenile
협응력 향상 프로그램_계이름 치기,협응력,맨몸,유소년,协调能力提升计划 - 踢毽子,协调力,无,少年,Coordination Improvement Program - Shuttlecock Kicking,Coordination,None,Juvenile
유소년테스트,다양한 체력 항목,다양한 운동 도구,유소년,青少年测试,各种体能项目,各种运动器材,少年,Teenagers Test,Various Physical Elements,Various Exercise Equipment,Juvenile
정적 스트레칭  루틴프로그램,유연성,맨몸,청소년,静态伸展训练计划,柔韧性,无,青少年,Static Stretching Routine Program,Flexibility,None,Teenagers
맨몸운동  루틴프로그램,근력/근지구력,맨몸,청소년,无器械训练计划,肌力/肌耐力,无,青少年,Bodyweight Exercise Routine Program,Muscle Strength/Muscular Endurance,None,Teenagers
요가 및 필라테스  루틴프로그램,유연성,맨몸,청소년,瑜伽及普拉提训练计划,柔韧性,无,青少年,Yoga and Pilates Routine Program,Flexibility,None,Teenagers
저항밴드 운동  루틴프로그램,근력/근지구력,밴드,청소년,抗阻带训练计划,肌力/肌耐力,带子,青少年,Resistance Band Workout Routine,Muscle Strength/Muscular Endurance,Band,Teenagers
웨이트 트레이닝  루틴프로그램,근력/근지구력,웨이트기계,청소년,杠铃训练计划,肌力/肌耐力,杠铃机,青少年,Weight Training Routine Program,Muscle Strength/Muscular Endurance,Weight Machine,Teenagers
바운딩 운동  루틴프로그램,민첩성/순발력,맨몸,청소년,跳跃训练计划,敏捷性/爆发力,无,青少年,Bounding Exercise Routine Program,Agility/Explosiveness,None,Teenagers
메디신볼 운동  루틴프로그램,협응력,공,청소년,医疗球训练计划,协调力,球,青少年,Medicine Ball Exercise Routine Program,Coordination,Ball,Teenagers
짝 스트레칭  루틴프로그램,유연성,맨몸,청소년,伙伴伸展训练计划,柔韧性,无,青少年,Partner Stretching Routine Program,Flexibility,None,Teenagers
사다리 운동  루틴프로그램,민첩성/순발력,사다리,청소년,梯子训练计划,敏捷性/爆发力,梯子,青少年,Ladder Exercise Routine Program,Agility/Explosiveness,Ladder,Teenagers
박스 운동  루틴프로그램,민첩성/순발력,스텝박스,청소년,箱台训练计划,敏捷性/爆发力,台阶箱,青少年,Box Exercise Routine Program,Agility/Explosiveness,Step Box,Teenagers
짐볼 운동  루틴프로그램,협응력,짐볼,청소년,健身球训练计划,协调力,健身球,青少年,Gym Ball Exercise Routine Program,Coordination,Gym Ball,Teenagers
콘운동  루틴프로그램,민첩성/순발력,하프콘,청소년,圆锥体训练计划,敏捷性/爆发力,半圆锥体,青少年,Cone Exercise Routine Program,Agility/Explosiveness,Half Cone,Teenagers
동적 스트레칭 루틴프로그램,유연성,맨몸,청소년,动态拉伸训练计划,柔韧性,无,青少年,Dynamic Stretching Routine Program,Flexibility,None,Teenagers
양발 벌려 무릎 밀어내기,유연성,맨몸,청소년,双腿分开推膝运动,柔韧性,无,青少年,Seated Leg Press Stretch,Flexibility,None,Teenagers
양발 교차하여 서서 몸통 숙이기,유연성,맨몸,청소년,交叉站立身体前倾,柔韧性,无,青少年,Standing Forward Bend with Crossed Legs,Flexibility,None,Teenagers
온 몸 뻗어주기,유연성,맨몸,청소년,全身伸展,柔韧性,无,青少年,Full Body Stretch,Flexibility,None,Teenagers
다리모아 무릎 누르기,유연성,맨몸,청소년,膝部压缩伸展,柔韧性,无,青少年,Knee-to-Chest Stretch,Flexibility,None,Teenagers
