KO_name,KO_type,KO_equipment,KO_target,ZH_name,ZH_type,ZH_equipment,ZH_target,EN_name,EN_type,EN_equipment,EN_target
누워 발목 당겨주기,유연성,맨몸,청소년,仰卧脚踝拉伸,柔韧性,无,青少年,Supine Ankle Stretch,Flexibility,None,Teenagers
서서 발목 뒤로 당기기,유연성,맨몸,청소년,站立脚踝向后拉伸,柔韧性,无,青少年,Standing Ankle Pull Back Stretch,Flexibility,None,Teenagers
서서 발목 누르기,유연성,맨몸,청소년,站立脚踝按压,柔韧性,无,青少年,Standing Ankle Press,Flexibility,None,Teenagers
의자에 앉아 옆구리 숙이기,유연성,의자,청소년,坐椅侧身屈体,柔韧性,椅子,青少年,Seated Side Bend,Flexibility,Chair,Teenagers
다리뻗어 상체 숙이기,유연성,맨몸,청소년,伸直腿部前屈,柔韧性,无,青少年,Seated Forward Fold with Legs Extended,Flexibility,None,Teenagers
무릎당겨 다리 올리기,유연성,맨몸,청소년,拉膝上举,柔韧性,无,青少年,Knee-to-Chest Leg Raise,Flexibility,None,Teenagers
무릎 당겨올리기,유연성,의자,청소년,拉膝上举,柔韧性,椅子,青少年,Knee-to-Chest Raise,Flexibility,Chair,Teenagers
몸통 스트레칭,유연성,맨몸,청소년,躯干伸展,柔韧性,无,青少年,Torso Stretching,Flexibility,None,Teenagers
옆구리 스트레칭,유연성,맨몸,청소년,侧腰伸展,柔韧性,无,青少年,Side Stretch,Flexibility,None,Teenagers
척추 들어올리기,유연성,맨몸,청소년,抬高脊椎,柔韧性,无,青少年,Spinal Lift,Flexibility,None,Teenagers
엎드려 상체 들어올리기,유연성,맨몸,청소년,俯卧抬高上半身,柔韧性,无,青少年,Prone Upper Body Lift,Flexibility,None,Teenagers
서서 한팔 들어 오른쪽 왼쪽 뻗기,유연성,맨몸,청소년,站立单臂向左右伸展,柔韧性,无,青少年,Standing Single Arm Reach to Left and Right,Flexibility,None,Teenagers
의자에 앉아 가슴 몸통 말아주기,유연성,의자,청소년,坐椅胸部屈体,柔韧性,椅子,青少年,Seated Chair Chest Stretch,Flexibility,Chair,Teenagers
팔꿈치 머리 뒤로 젖히기,유연성,맨몸,청소년,弯曲肘部触及头部后方,柔韧性,无,青少年,Elbow Touch Behind Head,Flexibility,None,Teenagers
다리굽혀 허리 비틀기,유연성,맨몸,청소년,弯腰扭动身体,柔韧性,无,青少年,Leg Bend with Waist Twist,Flexibility,None,Teenagers
목 당기기,유연성,맨몸,청소년,拉伸颈部,柔韧性,无,青少年,Neck Pull,Flexibility,None,Teenagers
깍지끼고 목 들어올리기,유연성,맨몸,청소년,戴手指套仰头,柔韧性,无,青少年,Finger Hook Neck Lift,Flexibility,None,Teenagers
의자에 앉아 몸통비틀기,유연성,의자,청소년,坐椅扭动躯干,柔韧性,椅子,青少年,Seated Chair Torso Twist,Flexibility,Chair,Teenagers
의자에 앉아 가슴 뒤로 젖히기,유연성,의자,청소년,坐椅背后拉伸胸部,柔韧性,椅子,青少年,Seated Chair Chest Stretch,Flexibility,Chair,Teenagers
전신 비틀며 전진하기,유연성,맨몸,청소년,躯干扭转前进,柔韧性,无,青少年,Torso Twist Forward,Flexibility,None,Teenagers
허리숙여 양팔 돌리기,유연성,맨몸,청소년,弯腰转动双臂,柔韧性,无,青少年,Bent-Over Arm Rotation,Flexibility,None,Teenagers
자세낮춰 이동하기,유연성,맨몸,청소년,低姿势移动,柔韧性,无,青少年,Low Position Movement,Flexibility,None,Teenagers
빠르게 무릎 올려 찍기,유연성,맨몸,청소년,快速提膝,柔韧性,无,青少年,Fast Knee Raises,Flexibility,None,Teenagers
전진 점프하며 발바닥 찍기,유연성,맨몸,청소년,前跳脚底拍击,柔韧性,无,青少年,Forward Jump with Foot Tap,Flexibility,None,Teenagers
전진 점프하며 발 뒤꿈치 찍기,유연성,맨몸,청소년,前跳踢后跟,柔韧性,无,青少年,Forward Jump with Heel Kick,Flexibility,None,Teenagers
팔 돌리며 점프하기,유연성,맨몸,청소년,转动手臂跳跃,柔韧性,无,青少年,Jumping with Arm Rotations,Flexibility,None,Teenagers
다리 들어올리기,유연성,맨몸,청소년,抬腿,柔韧性,无,青少年,Leg Raises,Flexibility,None,Teenagers
네발 걷기,유연성,맨몸,청소년,四肢行走,柔韧性,无,青少年,Quadruped Walk,Flexibility,None,Teenagers
옆으로 팔 벌리며 점프하기,유연성,맨몸,청소년,侧跳开双臂,柔韧性,无,青少年,Side Jump with Arm Extension,Flexibility,None,Teenagers
다리벌려 풍차돌기,유연성,맨몸,청소년,开腿风车,柔韧性,无,青少年,Straddle Windmill,Flexibility,None,Teenagers
한발들어 좌우 돌리기,유연성,맨몸,청소년,单脚站立左右转动,柔韧性,无,青少年,Single Leg Rotations Left and Right,Flexibility,None,Teenagers
팔꿈치 원 그리기,유연성,맨몸,청소년,画肘部圆圈,柔韧性,无,青少年,Elbow Circles,Flexibility,None,Teenagers
목 돌리기,유연성,맨몸,청소년,转动颈部,柔韧性,无,青少年,Neck Rotation,Flexibility,None,Teenagers
무릎굽혀 원 그리기,유연성,맨몸,청소년,屈膝绘圆,柔韧性,无,青少年,Knee Circles,Flexibility,None,Teenagers
상체 앞으로 숙이기,유연성,맨몸,청소년,上身前倾,柔韧性,无,青少年,Forward Bend,Flexibility,None,Teenagers
다리들어 옆으로 올리기,유연성,맨몸,청소년,侧向抬腿,柔韧性,无,青少年,Side Leg Raises,Flexibility,None,Teenagers
무릎 들어올리기,유연성,맨몸,청소년,抬膝,柔韧性,无,青少年,Knee Raises,Flexibility,None,Teenagers
엉덩이 늘리기,유연성,맨몸,청소년,扩展臀部,柔韧性,无,青少年,Hip Stretch,Flexibility,None,Teenagers
한쪽 다리펴고 상체 숙이기,유연성,맨몸,청소년,一腿伸直身体前倾,柔韧性,无,青少年,Forward Bend with One Leg Extended,Flexibility,None,Teenagers
앉아서 상체 앞 옆으로 기울기,유연성,맨몸,청소년,坐姿身体前侧倾,柔韧性,无,青少年,Seated Forward Side Bend,Flexibility,None,Teenagers
발등 동시에 늘리기,유연성,맨몸,청소년,同时伸展脚背,柔韧性,无,青少年,Simultaneous Toe Extension,Flexibility,None,Teenagers
웅크리고 앉아 손잡고 상체 숙이기,유연성,맨몸,청소년,蹲下并握住双手前倾,柔韧性,无,青少年,Squat and Forward Bend with Hands Holding,Flexibility,None,Teenagers
마주보고 종아리 펴기,유연성,맨몸,청소년,相对伸展小腿肌肉,柔韧性,无,青少年,Calf Stretch Facing Each Other,Flexibility,None,Teenagers
몸통 비틀기,유연성,맨몸,청소년,躯干扭转,柔韧性,无,青少年,Trunk Rotation,Flexibility,None,Teenagers
팔 당기기,유연성,맨몸,청소년,拉伸臂部肌肉,柔韧性,无,青少年,Arm Stretch,Flexibility,None,Teenagers
시소우,유연성,맨몸,청소년,坐姿屈伸腿部,柔韧性,无,青少年,Seated Leg Flexibility,Flexibility,None,Teenagers
나무자세,유연성,맨몸,청소년,树姿式,柔韧性,无,青少年,Tree Pose,Flexibility,None,Teenagers
마주보고 상체 좌우 비틀기,유연성,맨몸,청소년,对面扭转上身,柔韧性,无,青少年,Twisting Upper Body Facing Each Other,Flexibility,None,Teenagers
겨드랑이 늘리기,유연성,맨몸,청소년,伸展腋窝,柔韧性,无,青少年,Armpit Stretch,Flexibility,None,Teenagers
어깨 누르기,유연성,맨몸,청소년,压肩,柔韧性,无,青少年,Shoulder Press,Flexibility,None,Teenagers
목 스트레칭,유연성,맨몸,청소년,颈部伸展,柔韧性,无,青少年,Neck Stretch,Flexibility,None,Teenagers
측면 팔대고 버티기,유연성,맨몸,청소년,侧身伸展支撑,柔韧性,无,青少年,Side Arm Plank,Flexibility,None,Teenagers
레그 스윙,유연성,맨몸,청소년,腿部摆动,柔韧性,无,青少年,Leg Swing,Flexibility,None,Teenagers
가슴 어깨 펴기,유연성,맨몸,청소년,胸部和肩部伸展,柔韧性,无,青少年,Chest and Shoulder Stretch,Flexibility,None,Teenagers
나란히 서서 손잡고 끌어당기기,유연성,맨몸,청소년,并排站立拉伸,柔韧性,无,青少年,Side-by-Side Standing Pull,Flexibility,None,Teenagers
전사자세,유연성,맨몸,청소년,倒立姿势,柔韧性,无,青少年,Handstand,Flexibility,None,Teenagers
합장하여 앞으로 숙이기,유연성,맨몸,청소년,合并弯腰,柔韧性,无,青少年,Forward Bend with Hug,Flexibility,None,Teenagers
휴식자세,유연성,맨몸,청소년,休息姿势,柔韧性,无,青少年,Resting Pose,Flexibility,None,Teenagers
아기자세,유연성,맨몸,청소년,婴儿式,柔韧性,无,青少年,Child's Pose,Flexibility,None,Teenagers
앉은 산 자세,유연성,맨몸,청소년,坐山式,柔韧性,无,青少年,Seated Mountain Pose,Flexibility,None,Teenagers
소머리 자세,유연성,맨몸,청소년,小头式,柔韧性,无,青少年,Child's Pose,Flexibility,None,Teenagers
전갈자세,유연성,맨몸,청소년,蝎子式,柔韧性,无,青少年,Scorpion Pose,Flexibility,None,Teenagers
회전 초승달 자세,유연성,맨몸,청소년,旋转半月式,柔韧性,无,青少年,Revolved Crescent Lunge Pose,Flexibility,None,Teenagers
결가부좌,유연성,맨몸,청소년,金刚坐,柔韧性,无,青少年,Thunderbolt Pose,Flexibility,None,Teenagers
다리자세,유연성,맨몸,청소년,伸展腿姿势,柔韧性,无,青少年,Leg Stretch Pose,Flexibility,None,Teenagers
모관운동,유연성,맨몸,청소년,膝胸卷腹,柔韧性,无,青少年,Knee to Chest Crunch,Flexibility,None,Teenagers
스타 투 니 풀,유연성,맨몸,청소년,星形至膝拉伸,柔韧性,无,青少年,Star Turn Knee Pull,Flexibility,None,Teenagers
고양이 자세,유연성,맨몸,청소년,猫式,柔韧性,无,青少年,Cat Pose,Flexibility,None,Teenagers
복식호흡,유연성,맨몸,청소년,腹式呼吸,柔韧性,无,青少年,Diaphragmatic Breathing,Flexibility,None,Teenagers
나비자세,유연성,맨몸,청소년,蝴蝶式,柔韧性,无,青少年,Butterfly Pose,Flexibility,None,Teenagers
반달자세,유연성,맨몸,청소년,半月式,柔韧性,无,青少年,Half Moon Pose,Flexibility,None,Teenagers
발목 돌리기,유연성,맨몸,청소년,旋转脚踝,柔韧性,无,青少年,Ankle Rotation,Flexibility,None,Teenagers
발 끝 당기기,유연성,맨몸,청소년,拉伸脚尖,柔韧性,无,青少年,Toe Stretch,Flexibility,None,Teenagers
런지하며 상체 비틀기,근력/근지구력,밴드,청소년,做弓步并扭转上半身,肌力/肌耐力,无,青少年,Lunges with Upper Body Twist,Strength/Endurance,None,Teenagers
앉았다 일어서며 팔 들어올리기,근력/근지구력,밴드,청소년,坐起站立并抬高手臂,力量/耐力,无,青少年,Sit-to-Stand with Arm Raise,Strength/Endurance,None,Teenagers
왜가리 자세,유연성,맨몸,청소년,低头式,柔韧性,无,青少年,Child's Pose,Flexibility,None,Teenagers
누워 한발 원 그리기,유연성,맨몸,청소년,卧姿单腿画圆,柔韧性,无,青少年,Supine Single Leg Circles,Flexibility,None,Teenagers
물고기 자세,유연성,맨몸,청소년,鱼式,柔韧性,无,青少年,Fish Pose,Flexibility,None,Teenagers
엎드려 한발 원 그리기,유연성,맨몸,청소년,俯卧单腿画圆,柔韧性,无,青少年,Prone Single Leg Circles,Flexibility,None,Teenagers
옆으로 굽히기,근력/근지구력,밴드,청소년,侧弯,肌力/肌耐力,杠铃,青少年,Side Bend,Strength/Endurance,Band,Teenagers
앉아서 무릎 굽히기,근력/근지구력,밴드,청소년,坐姿屈膝,肌力/肌耐力,带子,青少年,Seated Knee Flexion,Strength/Endurance,Band,Teenagers
한 발 들어올리기,근력/근지구력,밴드,청소년,单腿抬高,肌力/肌耐力,带子,青少年,Single Leg Lift,Strength/Endurance,Band,Teenagers
양팔 크게 벌리기,근력/근지구력,밴드,청소년,双臂大开,肌力/肌耐力,带子,青少年,Wide Arm Stretch,Strength/Endurance,Band,Teenagers
앉아서 다리 올리기,근력/근지구력,밴드,청소년,坐姿抬腿,肌力/肌耐力,带子,青少年,Seated Leg Raise,Strength/Endurance,Band,Teenagers
상체 감아올리기,근력/근지구력,밴드,청소년,上体屈伸,肌力/肌耐力,带子,青少年,Upper Body Extension,Strength/Endurance,Band,Teenagers
팔 들어 올리며 런지,근력/근지구력,밴드,청소년,抬臂弓步,肌力/肌耐力,丝带,青少年,Arm Raise Lunges,Muscle Strength/Muscular Endurance,Band,Teenagers
한 발 뒤로 들어올리기,근력/근지구력,밴드,청소년,后踢腿,肌力/肌耐力,丝带,青少年,Back Leg Raises,Muscle Strength/Muscular Endurance,Band,Teenagers
뒤로 팔 뻗기,근력/근지구력,밴드,청소년,后伸臂,肌力/肌耐力,丝带,青少年,Back Arm Stretch,Muscle Strength/Muscular Endurance,Band,Teenagers
발에 밴드걸고 윗몸일으키기,근력/근지구력,밴드,청소년,踝部绑带仰卧起坐,肌力/肌耐力,丝带,青少年,Band-Assisted Sit-ups,Muscle Strength/Muscular Endurance,Band,Teenagers
한 발 끌어당기기,근력/근지구력,밴드,청소년,单腿抬举,肌力/肌耐力,丝带,青少年,Single Leg Pull,Muscle Strength/Muscular Endurance,Band,Teenagers
다리 감아올리기,근력/근지구력,밴드,청소년,抬腿,肌力/肌耐力,丝带,青少年,Leg Raises,Muscle Strength/Muscular Endurance,Band,Teenagers
크런치 사이클,근력/근지구력,맨몸,청소년,卷腹,肌力/肌耐力,无,青少年,Crunches,Muscle Strength/Muscular Endurance,None,Teenagers
앉았다 일어서기,근력/근지구력,웨이트기계,청소년,坐起站立,肌力/肌耐力,杠铃机,青少年,Sit-to-Stand,Muscle Strength/Muscular Endurance,Weight Machine,Teenagers
몸통 옆으로 굽히기,근력/근지구력,웨이트기계,청소년,侧身弯曲,肌力/肌耐力,杠铃机,青少年,Side Bends,Muscle Strength/Muscular Endurance,Weight Machine,Teenagers
앉아서 당겨 내리기,근력/근지구력,웨이트기계,청소년,坐姿下拉,肌力/肌耐力,杠铃机,青少年,Seated Pull-down,Muscle Strength/Muscular Endurance,Weight Machine,Teenagers
앉아서 양팔 당기기,근력/근지구력,웨이트기계,청소년,坐姿双臂拉力,肌力/肌耐力,杠铃机,青少年,Seated Two-arm Pull,Muscle Strength/Muscular Endurance,Weight Machine,Teenagers
팔꿈치 고정 후 벌리기,근력/근지구력,밴드,청소년,固定肘部后展,肌力/肌耐力,丝带,青少年,Elbow Fixation with Extension,Muscle Strength/Muscular Endurance,Band,Teenagers
앉아서 다리 펴기,근력/근지구력,웨이트기계,청소년,坐姿伸展,肌力/肌耐力,杠铃机,青少年,Seated Leg Extension,Muscle Strength/Muscular Endurance,Weight Machine,Teenagers
누워서 팔 밀기,근력/근지구력,웨이트기계,청소년,俯卧臂推,肌力/肌耐力,杠铃机,青少年,Lying Arm Press,Muscle Strength/Muscular Endurance,Weight Machine,Teenagers
앉아서 가슴 모으기,근력/근지구력,웨이트기계,청소년,坐姿收紧胸肌,肌力/肌耐力,杠铃机,青少年,Seated Chest Contraction,Muscle Strength/Muscular Endurance,Weight Machine,Teenagers
누워서 다리 굽히기,근력/근지구력,웨이트기계,청소년,仰卧腿屈伸,肌力/肌耐力,杠铃机,青少年,Lying Leg Curl,Muscle Strength/Muscular Endurance,Weight Machine,Teenagers
앉아서 몸통 움츠리기,근력/근지구력,웨이트기계,청소년,坐姿屈腰,肌力/肌耐力,杠铃机,青少年,Seated Trunk Flexion,Muscle Strength/Muscular Endurance,Weight Machine,Teenagers
다리 넓게 벌려 앉았다 일어서기,근력/근지구력,웨이트기계,청소년,开腿坐起站立,肌力/肌耐力,杠铃机,青少年,Wide-legged Sit-to-Stand,Muscle Strength/Muscular Endurance,Weight Machine,Teenagers
버피 테스트,근력/근지구력,맨몸,청소년,跳跃俯卧撑测试,肌力/肌耐力,无,青少年,Burpee Test,Muscle Strength/Muscular Endurance,None,Teenagers
윗몸 일으키기,근력/근지구력,맨몸,청소년,仰卧起坐,肌力/肌耐力,无,青少年,Sit-up,Muscle Strength/Muscular Endurance,None,Teenagers
몸통 들어올리기,근력/근지구력,맨몸,청소년,仰卧提臀,肌力/肌耐力,无,青少年,Supine Hip Lift,Muscle Strength/Muscular Endurance,None,Teenagers
앞굽이 앉았다 일어서기,근력/근지구력,맨몸,청소년,俯身屈膝坐起站立,肌力/肌耐力,无,青少年,Bent-over Sit-to-Stand,Muscle Strength/Muscular Endurance,None,Teenagers
팔다리 교차 버티기,근력/근지구력,맨몸,청소년,交叉臂腿站立,肌力/肌耐力,无,青少年,Cross Arm-Leg Hold,Muscle Strength/Muscular Endurance,None,Teenagers
발 바꿔 뛰기,근력/근지구력,맨몸,청소년,交叉跳跃,肌力/肌耐力,无,青少年,Alternating Leg Jumps,Muscle Strength/Muscular Endurance,None,Teenagers
엎드려 팔다리 교차올리기,근력/근지구력,맨몸,청소년,交叉举腿俯卧撑,肌力/肌耐力,无,青少年,Cross Leg Lift Push-up,Muscle Strength/Muscular Endurance,None,Teenagers
연속 사이드 스쿼드,근력/근지구력,맨몸,청소년,连续侧弓步,肌力/肌耐力,无,青少年,Continuous Side Squats,Muscle Strength/Muscular Endurance,None,Teenagers
손 뻗어 윗몸 일으키기,근력/근지구력,맨몸,청소년,伸手仰卧起坐,肌力/肌耐力,无,青少年,Reach-up Sit-ups,Muscle Strength/Muscular Endurance,None,Teenagers
다리 뻗어 올리기,근력/근지구력,맨몸,청소년,抬腿,肌力/肌耐力,无,青少年,Leg Raises,Muscle Strength/Muscular Endurance,None,Teenagers
누워 무릎 기울기,근력/근지구력,맨몸,청소년,侧躺腿内旋,肌力/肌耐力,无,青少年,Lying Knee Inward Rotation,Muscle Strength/Muscular Endurance,None,Teenagers
팔굽혀 펴기,근력/근지구력,맨몸,청소년,俯卧撑,肌力/肌耐力,无,青少年,Push-up,Muscle Strength/Muscular Endurance,None,Teenagers
전완대고 버티기,근력/근지구력,맨몸,청소년,俯卧支撑,肌力/肌耐力,无,青少年,Forearm Plank,Muscle Strength/Muscular Endurance,None,Teenagers
누워 다리 들어올리기,근력/근지구력,맨몸,청소년,仰卧抬腿,肌力/肌耐力,无,青少年,Leg Raises,Muscle Strength/Muscular Endurance,None,Teenagers
뒤로 팔굽혀펴기,근력/근지구력,맨몸,청소년,仰卧俯卧撑,肌力/肌耐力,无,青少年,Reverse Push-up,Muscle Strength/Muscular Endurance,None,Teenagers
바로서서 상체 숙이기,근력/근지구력,맨몸,청소년,躯干前屈站立,肌力/肌耐力,无,青少年,Standing Trunk Flexion,Muscle Strength/Muscular Endurance,None,Teenagers
V자 싸이클,근력/근지구력,맨몸,청소년,V字形自行车,肌力/肌耐力,无,青少年,V-sit Bicycle,Muscle Strength/Muscular Endurance,None,Teenagers
다리 교대로 들어올리기,협응력,짐볼,청소년,交替抬腿,协调力,瑜伽球,青少年,Alternating Leg Lifts,Coordination,Gym Ball,Teenagers
의자에 앉아 물병 들고 몸통 돌리기,근력/근지구력,물병,청소년,坐姿扭转,肌力/肌耐力,水瓶,青少年,Seated Twist,Muscle Strength/Muscular Endurance,Water Bottle,Teenagers
백 슬라이드,협응력,짐볼,청소년,后滑动,协调力,瑜伽球,青少年,Back Slide,Coordination,Gym Ball,Teenagers
짐볼 윗몸일으키기,협응력,짐볼,청소년,瑜伽球仰卧起坐,协调力,瑜伽球,青少年,Gym Ball Sit-up,Coordination,Gym Ball,Teenagers
양손 모아 균형 잡기,협응력,짐볼,청소년,双手合拢保持平衡,协调力,瑜伽球,青少年,Balancing with Hands Together,Coordination,Gym Ball,Teenagers
짐볼 배에 대고 버티기,협응력,짐볼,청소년,瑜伽球压腹,协调力,瑜伽球,青少年,Planking on Gym Ball,Coordination,Gym Ball,Teenagers
메디신 볼 잡고 런지하며 상체비틀기,협응력,공,청소년,手持医疗球做深蹲并扭转上半身,协调力,球,青少年,Lunges with Medizin Ball Twists,Coordination,Ball,Teenagers
메디신 볼 잡고 팔굽혀펴기,협응력,공,청소년,手持医疗球俯卧撑,协调力,球,青少年,Push-ups with Medizin Ball,Coordination,Ball,Teenagers
종아리 사이 감아 돌리기,협응력,공,청소년,小腿之间旋转,协调力,球,青少年,Calf Circles,Coordination,Ball,Teenagers
볼 잡고 점프하기,협응력,공,청소년,手持球跳跃,协调力,球,青少年,Jumping with Ball,Coordination,Ball,Teenagers
짐볼 전완대고 버티기,협응력,짐볼,청소년,瑜伽球前臂支撑,协调力,瑜伽球,青少年,Forearm Plank on Gym Ball,Coordination,Gym Ball,Teenagers
볼 튕기면서 스쿼트,협응력,공,청소년,弹跳式深蹲,协调力,球,青少年,Squats with Ball Bounce,Coordination,Ball,Teenagers
양발 교차 올리기,협응력,짐볼,청소년,交叉抬腿,协调力,瑜伽球,青少年,Cross Leg Raises,Coordination,Gym Ball,Teenagers
허리 비틀어 볼 주고받기,협응력,공,청소년,交替扭腰传球,协调力,球,青少年,Twisting Pass with Ball,Coordination,Ball,Teenagers
누워 무릎 교차 올리기,협응력,짐볼,청소년,交叉抬膝,协调力,瑜伽球,青少年,Cross Knee Raises,Coordination,Gym Ball,Teenagers
허리 감아 볼 돌리기,협응력,공,청소년,扭转腰部传球,协调力,球,青少年,Twisting Pass with Ball,Coordination,Ball,Teenagers
볼 잡고 몸통 기울이기,협응력,공,청소년,持球侧身倾斜,协调力,球,青少年,Side Bend with Ball,Coordination,Ball,Teenagers
머리 위로 볼 돌리기,협응력,공,청소년,头顶旋转球,协调力,球,青少年,Overhead Ball Rotations,Coordination,Ball,Teenagers
조깅,심폐지구력,맨몸,청소년,慢跑,心肺耐力,无,青少年,Jogging,Cardiovascular Endurance,None,Teenagers
걷기,심폐지구력,맨몸,청소년,步行,心肺耐力,无,青少年,Walking,Cardiovascular Endurance,None,Teenagers
줄넘기 운동,심폐지구력,줄넘기,청소년,跳绳运动,心肺耐力,跳绳,青少年,Jump Rope Exercise,Cardiovascular Endurance,Jump Rope,Teenagers
자전거타기,심폐지구력,자전거,청소년,骑自行车,心肺耐力,自行车,青少年,Cycling,Cardiovascular Endurance,Bicycle,Teenagers
수영,심폐지구력,수중운동,청소년,游泳,心肺耐力,水中运动,青少年,Swimming,Cardiovascular Endurance,Aquatic Exercise,Teenagers
빠르게 앞무릎 올리기,민첩성/순발력,스텝박스,청소년,快速提膝,敏捷性/速度,踏步器,青少年,Fast High Knees,Agility/Speed,Step Box,Teenagers
좌우 이동하며 팔굽혀펴기,민첩성/순발력,스텝박스,청소년,左右移动俯卧撑,敏捷性/速度,踏步器,青少年,Side-to-Side Push-ups,Agility/Speed,Step Box,Teenagers
한발로 점프하기,민첩성/순발력,스텝박스,청소년,单脚跳跃,敏捷性/速度,踏步器,青少年,Single Leg Jump,Agility/Speed,Step Box,Teenagers
팔굽혀펴기 후 점프하기,민첩성/순발력,스텝박스,청소년,俯卧撑后跳跃,敏捷性/速度,踏步器,青少年,Push-up to Jump,Agility/Speed,Step Box,Teenagers
좌우 양발모아 점프하기,민첩성/순발력,스텝박스,청소년,左右双脚跳跃,敏捷性/速度,踏步器,青少年,Side-to-Side Double Leg Jump,Agility/Speed,Step Box,Teenagers
연속 상향 점프하기,민첩성/순발력,스텝박스,청소년,连续上跳,敏捷性/速度,踏步器,青少年,Continuous Vertical Jumps,Agility/Speed,Step Box,Teenagers
연속 하향 점프하기,민첩성/순발력,스텝박스,청소년,连续下跳,敏捷性/速度,踏步器,青少年,Continuous Descending Jumps,Agility/Speed,Step Box,Teenagers
팔 벌려 뛰기,민첩성/순발력,맨몸,청소년,张臂跳跃,敏捷性/速度,无,青少年,Jumping Jacks,Agility/Speed,None,Teenagers
앉았다 일어나며 점프하기,민첩성/순발력,맨몸,청소년,坐起跳,敏捷性/速度,无,青少年,Squat Jumps,Agility/Speed,None,Teenagers
양발 점프 착지하기,민첩성/순발력,스텝박스,청소년,双脚跳跃着陆,敏捷性/速度,踏步器,青少年,Bilateral Jump Landing,Agility/Speed,Step Box,Teenagers
점프 후 버티기,민첩성/순발력,스텝박스,청소년,跳跃后站立,敏捷性/速度,踏步器,青少年,Jump and Hold,Agility/Speed,Step Box,Teenagers
다리 뻗어 점프하기,민첩성/순발력,맨몸,청소년,伸展跳跃,敏捷性/速度,无,青少年,Leg Extension Jump,Agility/Speed,None,Teenagers
앞차기하며 뛰기,민첩성/순발력,맨몸,청소년,前踢跳跃,敏捷性/速度,无,青少年,Front Kick Jump,Agility/Speed,None,Teenagers
양팔 벌려 높이 뛰기,민첩성/순발력,맨몸,청소년,双臂高跳,敏捷性/速度,无,青少年,Double Arm High Jump,Agility/Speed,None,Teenagers
